FirstLayer_dialogue_speed_factor_3,FirstLayer_task_speed_factor_1,FirstLayer_task_speed_factor_5,SecondLayer_Item_inter_factor_3,SecondLayer_Item_inter_factor_5,FirstLayer_dialogue_speed_factor_9,FirstLayer_dialogue_speed_factor_13,FirstLayer_dialogue_share_factor_13,SecondLayer_Item_inter_factor_9,FirstLayer_behaviorType_share_factor_1,floodArmoryScore,FirstLayer_dialogue_share_factor_10,FirstLayer_dialogue_speed_factor_7,FirstLayer_dialogue_speed_factor_10,FirstLayer_dialogue_freq_factor_14,FirstLayer_dialogue_speed_factor_15,FirstLayer_itemInter_speed_factor_1,FirstLayer_dialogue_speed_factor_19,ThirdLayer_inter_factor_7,SecondLayer_arg_inter_factor_1,SecondLayer_Item_inter_factor_6,FirstLayer_itemInter_speed_factor_3,FirstLayer_dialogue_share_factor_2,SecondLayer_Item_inter_factor_4,playerName,POSTU4
-0.104605617,-3.041183279,1.247868294,-0.701250112,2.574589095,0.015176936,0.79261519,-1.338250829,0.684480388,1.00336051,-1.247643806,1.857952454,0.006309453,-0.931236215,-0.074975774,-0.323647761,-3.943167163,1.599546027,-0.922532585,-1.876398708,-0.969295571,2.168028817,2.156763343,2.872543682,1,Low
0.05204519,5.61394297,0.016738364,-1.656801396,-0.754921893,0.04341416,-0.585446708,3.685203091,-0.177895973,0.395350676,1.764969921,-1.777332369,0.033524496,0.03786309,0.029266588,0.057283561,-0.844060999,1.187450976,-0.503637233,-0.043159728,-1.835216215,-1.327651034,0.727288755,-0.210251943,2,High
-0.01670404,7.891108893,0.977581669,2.168057535,1.715550008,-0.047555455,0.314763968,-0.746269504,2.809212868,-0.215455621,-0.813928574,-0.607977507,-0.01362062,0.376387746,-0.010307073,0.450684295,-5.087297481,-2.104280375,-1.305890386,-0.35611243,-5.210394167,-3.622607756,-2.376267947,-2.970746185,3,High
-0.042406117,-0.357026801,0.819964885,2.97478005,3.437695383,-0.01167203,-1.021266675,-2.501207813,-2.781730365,1.023215104,0.930236713,-1.31297235,-0.122691552,-0.521194856,-0.058604162,1.074945597,-1.326368279,-1.718160436,-0.172207916,0.197994004,-1.884366487,0.868660503,-1.094112842,1.371367927,4,High
0.119232209,4.798180979,0.705509182,0.604653607,-1.108327326,0.008220153,0.497664157,0.691387855,0.452255154,0.876376907,-0.357719744,-0.48626834,0.027906369,0.177072181,0.005373426,-0.01953474,5.084380152,0.989984702,1.768274052,0.891009101,-1.692325254,5.764514731,-0.542537017,1.399674205,5,Low
0.030202324,-2.156340418,1.663158739,0.543661366,-0.998298519,0.045162115,0.211198556,1.284422591,1.060703607,1.426442028,3.562526421,-0.29652561,0.029716924,-0.683390706,-0.012303992,-0.893768322,-0.358083061,-0.774425313,-0.306503586,0.554679582,1.991364871,5.707365642,0.491627407,3.183338761,6,High
0.024877932,3.472381879,-0.37002053,0.699634339,-3.236524246,0.007706871,-0.964373028,0.436563094,0.126334074,3.607616075,-1.528163048,0.455942279,-0.059585899,0.200139548,0.367917446,1.213926225,-6.003495962,-0.161987859,-0.546249991,1.201162331,-2.639062786,-3.509878236,1.156653727,-0.364936486,7,Low
0.072864666,-2.811044864,-0.585881312,-0.902174235,-2.793109977,-0.025951739,-0.453737482,-0.958857273,-0.827680699,-2.458633119,2.063439991,-1.660230026,-0.030912266,0.628196813,0.031420592,-1.531945283,-1.868632358,0.205887581,-0.965134146,2.109356628,-0.977453662,-0.019549632,-1.040312748,2.484072742,8,High
-0.043197788,6.700733209,0.764274594,-1.254680092,1.037499695,-0.068371178,-0.638078873,1.419891241,2.319863547,-1.27620132,0.259969307,1.64019672,0.013277571,0.824776114,-0.006970381,-1.680323304,-5.200666171,-0.964229563,0.015442909,-0.22061168,-2.757713457,-1.117174642,1.210901045,0.55867515,9,Low
0.030684961,-3.196139917,0.232368752,-3.782047379,-0.633263213,-0.014821137,2.647166224,-0.456868318,0.555064864,0.452954964,1.16942286,-0.844839147,0.072110865,1.509325404,-0.01577871,1.361868769,-0.9995984,0.251436827,-0.121585689,0.927875337,-2.919170618,0.124619049,1.381736042,-1.337423189,10,Low
