,ItemID,classId,buildType,installId,playerName,playerId,timestamp,platform,sessionId,teacherId,type,unit,buildVersion,PlayerpostionX,PlayerpostionZ,PlayerpostionY,CamerarotationX,CamerarotationZ,CamerarotationY,QuestTableF,TasktableF,Scenenames,buildVersion.1,dialogueID,dialogueEventType
15,5c53623ae4194c47a14dd023,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:01,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,322,DialogueFinishEvent
16,5c53623ae4194c47a14dd029,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:01,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,529,DialogueFinishEvent
17,5c536249e4194c47a14dd049,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:01,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,530,DialogueStartEvent
18,5c536258e4194c47a14dd08f,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,530,DialogueFinishEvent
19,5c536267e4194c47a14dd0be,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,531,DialogueStartEvent
20,5c536267e4194c47a14dd0c9,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,531,DialogueFinishEvent
21,5c536271e4194c47a14dd0d1,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,532,DialogueStartEvent
22,5c536272e4194c47a14dd0dc,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,532,DialogueFinishEvent
23,5c536272e4194c47a14dd0e1,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF","U1,U1_Quest",0.11.141,533,DialogueStartEvent
24,5c536281e4194c47a14dd11d,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,534,DialogueStartEvent
25,5c536281e4194c47a14dd11f,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,533,DialogueFinishEvent
26,5c53628be4194c47a14dd13d,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,534,DialogueFinishEvent
27,5c53628be4194c47a14dd142,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:02,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,326,DialogueStartEvent
28,5c536295e4194c47a14dd153,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:03,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,0.453936964,-58.97817612,0.777678311,-0.045365307,-0.998970389,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,326,DialogueFinishEvent
29,5c53629fe4194c47a14dd19d,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:03,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,535,DialogueStartEvent
30,5c5362b8e4194c47a14dd1cb,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:03,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,535,DialogueFinishEvent
31,5c5362cce4194c47a14dd1f2,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:03,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,collectARF;77,checkPoster","U1,U1_Quest",0.11.141,327,DialogueStartEvent
32,5c5362d6e4194c47a14dd208,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,327,DialogueFinishEvent
