Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
8,15,Smote,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
9,15,borderline,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
9,15,SmoteTomek,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
27,3,SmoteTomek,0.980,0.990,0.890,0.937,0.885,0.997,0.936,0.992,0.783,0.876
7,15,borderline,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
7,15,SmoteTomek,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
8,15,RandomOver,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
9,12,adasym,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
9,15,RandomOver,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
9,15,adasym,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
9,15,OnesidedSelection,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
10,12,adasym,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
10,15,Smote,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
12,15,Smote,0.962,0.975,0.929,0.949,0.950,1.000,0.974,1.000,0.857,0.923
12,15,adasym,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
12,15,NearestNeighborMode,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
15,15,RandomOver,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
15,15,adasym,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
16,15,CondensedNearNeighbor,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
17,15,CondensedNearNeighbor,0.962,0.938,0.974,0.953,1.000,0.947,0.973,0.875,1.000,0.933
