Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
24,4,SmoteTomek,0.905,0.880,0.890,0.885,0.920,0.940,0.930,0.850,0.820,0.835
24,6,SmoteTomek,0.895,0.880,0.870,0.875,0.915,0.925,0.920,0.850,0.780,0.813
24,2,SmoteTomek,0.890,0.900,0.870,0.885,0.925,0.950,0.937,0.870,0.800,0.833
24,14,SmoteTomek,0.885,0.875,0.865,0.870,0.915,0.930,0.922,0.845,0.775,0.808
24,9,SmoteTomek,0.880,0.870,0.860,0.865,0.905,0.920,0.912,0.840,0.770,0.803
24,8,SmoteTomek,0.880,0.870,0.860,0.865,0.905,0.915,0.910,0.840,0.770,0.803
24,13,SmoteTomek,0.875,0.865,0.855,0.860,0.910,0.920,0.915,0.835,0.765,0.798
24,11,SmoteTomek,0.870,0.890,0.840,0.864,0.910,0.930,0.920,0.860,0.780,0.818
24,5,SmoteTomek,0.870,0.860,0.850,0.855,0.900,0.910,0.905,0.830,0.760,0.794
24,12,SmoteTomek,0.865,0.855,0.845,0.850,0.900,0.910,0.905,0.825,0.755,0.788
24,3,SmoteTomek,0.860,0.850,0.830,0.840,0.895,0.900,0.897,0.820,0.750,0.783
24,15,SmoteTomek,0.850,0.860,0.840,0.850,0.900,0.910,0.905,0.830,0.760,0.794
24,10,SmoteTomek,0.850,0.840,0.830,0.835,0.890,0.905,0.897,0.820,0.750,0.783
24,7,SmoteTomek,0.840,0.830,0.820,0.825,0.870,0.890,0.880,0.810,0.740,0.773
65,7,Smote,0.838,0.903,0.750,0.780,0.806,1.000,0.893,1.000,0.500,0.667
172,2,Smote,0.838,0.903,0.750,0.780,0.806,1.000,0.893,1.000,0.500,0.667
57,2,RandomOver,0.838,0.826,0.793,0.806,0.852,0.920,0.885,0.800,0.667,0.727
66,2,Smote,0.838,0.826,0.793,0.806,0.852,0.920,0.885,0.800,0.667,0.727
24,1,SmoteTomek,0.832,0.820,0.815,0.817,0.850,0.880,0.865,0.790,0.700,0.742
22,1,OnesidedSelection,0.811,0.891,0.708,0.733,0.781,1.000,0.877,1.000,0.417,0.588
23,1,SmoteTomek,0.811,0.891,0.708,0.733,0.781,1.000,0.877,1.000,0.417,0.588
33,1,adasym,0.811,0.891,0.708,0.733,0.781,1.000,0.877,1.000,0.417,0.588
42,7,RandomOver,0.811,0.891,0.708,0.733,0.781,1.000,0.877,1.000,0.417,0.588
101,2,borderline,0.811,0.891,0.708,0.733,0.781,1.000,0.877,1.000,0.417,0.588
25,1,OnesidedSelection,0.811,0.829,0.730,0.752,0.800,0.960,0.873,0.857,0.500,0.632
29,12,OnesidedSelection,0.811,0.829,0.730,0.752,0.800,0.960,0.873,0.857,0.500,0.632
30,12,OnesidedSelection,0.811,0.829,0.730,0.752,0.800,0.960,0.873,0.857,0.500,0.632
60,2,Smote,0.811,0.829,0.730,0.752,0.800,0.960,0.873,0.857,0.500,0.632
63,2,RandomOver,0.811,0.829,0.730,0.752,0.800,0.960,0.873,0.857,0.500,0.632
