Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
45,3,OnesidedSelection,0.9,0.91,0.885,0.897,0.98,0.9,0.938,0.84,0.87,0.855
36,8,SmoteTomek,0.9,0.91,0.885,0.897,0.98,0.9,0.938,0.84,0.87,0.855
8,5,Smote,0.87,0.86,0.88,0.87,0.87,0.89,0.88,0.85,0.83,0.84
10,5,borderline,0.87,0.86,0.88,0.87,0.9,0.88,0.89,0.82,0.86,0.84
36,2,SmoteTomek,0.87,0.86,0.88,0.87,0.87,0.89,0.88,0.85,0.83,0.84
36,4,SmoteTomek,0.87,0.86,0.88,0.87,0.9,0.88,0.89,0.82,0.86,0.84
28,5,SmoteN,0.862,0.885,0.844,0.853,0.818,0.973,0.889,0.952,0.714,0.816
60,3,SmoteTomek,0.86,0.85,0.87,0.86,0.89,0.87,0.88,0.81,0.83,0.82
36,7,SmoteTomek,0.86,0.85,0.87,0.86,0.89,0.87,0.88,0.81,0.83,0.82
9,5,RandomOver,0.85,0.845,0.855,0.85,0.88,0.86,0.87,0.81,0.84,0.825
9,14,RandomOver,0.85,0.855,0.845,0.85,0.87,0.86,0.865,0.83,0.8,0.815
36,10,SmoteTomek,0.85,0.845,0.855,0.85,0.88,0.86,0.87,0.81,0.84,0.825
36,11,SmoteTomek,0.85,0.855,0.845,0.85,0.87,0.86,0.865,0.83,0.8,0.815
17,3,SmoteTomek,0.846,0.843,0.843,0.843,0.865,0.865,0.865,0.821,0.821,0.821
19,3,adasym,0.846,0.846,0.839,0.842,0.846,0.892,0.868,0.846,0.786,0.815
19,5,Smote,0.846,0.875,0.826,0.835,0.8,0.973,0.878,0.95,0.679,0.792
20,3,SmoteTomek,0.846,0.843,0.843,0.843,0.865,0.865,0.865,0.821,0.821,0.821
23,3,SmoteTomek,0.846,0.843,0.843,0.843,0.865,0.865,0.865,0.821,0.821,0.821
24,5,RandomOver,0.846,0.875,0.826,0.835,0.8,0.973,0.878,0.95,0.679,0.792
25,3,SmoteTomek,0.846,0.846,0.839,0.842,0.846,0.892,0.868,0.846,0.786,0.815
25,5,RandomOver,0.846,0.875,0.826,0.835,0.8,0.973,0.878,0.95,0.679,0.792
25,5,adasym,0.846,0.875,0.826,0.835,0.8,0.973,0.878,0.95,0.679,0.792
26,5,RandomOver,0.846,0.875,0.826,0.835,0.8,0.973,0.878,0.95,0.679,0.792
38,5,adasym,0.846,0.862,0.83,0.838,0.814,0.946,0.875,0.909,0.714,0.8
10,5,clusterCen,0.845,0.85,0.84,0.845,0.86,0.87,0.865,0.83,0.82,0.825
36,9,SmoteTomek,0.845,0.85,0.84,0.845,0.86,0.87,0.865,0.83,0.82,0.825
37,5,SmoteTomek,0.84,0.843,0.825,0.834,0.856,0.912,0.883,0.83,0.737,0.78
13,5,borderline,0.84,0.845,0.835,0.84,0.855,0.865,0.86,0.815,0.805,0.81
36,3,SmoteTomek,0.84,0.843,0.825,0.834,0.856,0.912,0.883,0.83,0.737,0.78
36,12,SmoteTomek,0.84,0.845,0.835,0.84,0.855,0.865,0.86,0.815,0.805,0.81
8,5,adasym,0.835,0.84,0.83,0.835,0.86,0.85,0.855,0.82,0.81,0.815
36,6,SmoteTomek,0.835,0.84,0.83,0.835,0.86,0.85,0.855,0.82,0.81,0.815
9,5,clusterCen,0.831,0.85,0.812,0.82,0.795,0.946,0.864,0.905,0.679,0.776
9,14,Smote,0.831,0.833,0.821,0.825,0.825,0.892,0.857,0.84,0.75,0.792
10,5,adasym,0.831,0.84,0.817,0.823,0.81,0.919,0.861,0.87,0.714,0.784
14,3,NearMiss,0.831,0.828,0.825,0.827,0.842,0.865,0.853,0.815,0.786,0.8
15,3,NearMiss,0.831,0.827,0.83,0.828,0.861,0.838,0.849,0.793,0.821,0.807
15,14,NearMiss,0.831,0.828,0.825,0.827,0.842,0.865,0.853,0.815,0.786,0.8
17,3,adasym,0.831,0.828,0.834,0.829,0.882,0.811,0.845,0.774,0.857,0.814
18,5,RandomOver,0.831,0.865,0.808,0.817,0.783,0.973,0.867,0.947,0.643,0.766
18,5,SmoteN,0.831,0.865,0.808,0.817,0.783,0.973,0.867,0.947,0.643,0.766
19,3,SmoteTomek,0.831,0.827,0.83,0.828,0.861,0.838,0.849,0.793,0.821,0.807
19,3,RandomUnder,0.831,0.828,0.834,0.829,0.882,0.811,0.845,0.774,0.857,0.814
20,3,adasym,0.831,0.827,0.83,0.828,0.861,0.838,0.849,0.793,0.821,0.807
20,5,SmoteN,0.831,0.85,0.812,0.82,0.795,0.946,0.864,0.905,0.679,0.776
21,3,adasym,0.831,0.827,0.83,0.828,0.861,0.838,0.849,0.793,0.821,0.807
21,5,borderline,0.831,0.84,0.817,0.823,0.81,0.919,0.861,0.87,0.714,0.784
22,5,borderline,0.831,0.85,0.812,0.82,0.795,0.946,0.864,0.905,0.679,0.776
23,5,adasym,0.831,0.85,0.812,0.82,0.795,0.946,0.864,0.905,0.679,0.776
23,5,OnesidedSelection,0.831,0.84,0.817,0.823,0.81,0.919,0.861,0.87,0.714,0.784
23,12,NearMiss,0.831,0.833,0.821,0.825,0.825,0.892,0.857,0.84,0.75,0.792
24,12,NearMiss,0.831,0.828,0.825,0.827,0.842,0.865,0.853,0.815,0.786,0.8
25,5,borderline,0.831,0.85,0.812,0.82,0.795,0.946,0.864,0.905,0.679,0.776
25,5,SmoteENN,0.831,0.838,0.843,0.831,0.933,0.757,0.836,0.743,0.929,0.825
25,5,OnesidedSelection,0.831,0.84,0.817,0.823,0.81,0.919,0.861,0.87,0.714,0.784
25,12,clusterCen,0.831,0.833,0.821,0.825,0.825,0.892,0.857,0.84,0.75,0.792
26,5,adasym,0.831,0.84,0.817,0.823,0.81,0.919,0.861,0.87,0.714,0.784
