"playerName","share_Item.65468.Freq","share_Item.65810.Freq","share_Item.66704.Freq","share_Item.82854.Freq","share_Item.82940.Freq","share_Item.83070.Freq","share_Item.83172.Freq","share_Item.83212.Freq","share_Item.83274.Freq","share_Item.83416.Freq","share_Item.83596.Freq","share_Item.83710.Freq","share_Item.83726.Freq","share_Item.83818.Freq","share_Item.83894.Freq","share_Item.83970.Freq","share_Item.84038.Freq","share_Item.84044.Freq","share_Item.84076.Freq","share_Item.84240.Freq","share_Item.84246.Freq","share_Item.84362.Freq","share_Item.84534.Freq","share_Item.84542.Freq","share_Item.84628.Freq","share_Item.84706.Freq","share_Item.84736.Freq","share_Item.85042.Freq","share_Item.85130.Freq","share_Item.85332.Freq","share_Item.85506.Freq","share_Item.85546.Freq","share_Item.85646.Freq","share_Item.85912.Freq","share_Item.85964.Freq","share_Item.86090.Freq","share_Item.93072.Freq","share_Item.93648.Freq","share_Item.94104.Freq","share_Item.98770.Freq","share_Item.99112.Freq","share_Item.99186.Freq","share_Item.100006.Freq","share_Item.115876.Freq","share_Item.116222.Freq","share_Item.116324.Freq","share_Item.116776.Freq","share_Item.117194.Freq","share_Item.117238.Freq","share_Item.117268.Freq","share_Item.117506.Freq","share_Item.117512.Freq","share_Item.117748.Freq","share_Item.117866.Freq","share_Item.117948.Freq","share_Item.118286.Freq","share_Item.510132.Freq","share_Item.510634.Freq","share_Item.510682.Freq","share_Item.510772.Freq","share_Item.511020.Freq","share_Item.512698.Freq","share_Item.513562.Freq","share_Item.22748.Freq","share_Item.30428.Freq","share_Item.31054.Freq","share_Item.31078.Freq","share_Item.31232.Freq","share_Item.31304.Freq","share_Item.31376.Freq","share_Item.32182.Freq","share_Item.33916.Freq","share_Item.34850.Freq","share_Item.34878.Freq","share_Item.35316.Freq","share_Item.35928.Freq","share_Item.37310.Freq","share_Item.37438.Freq","share_Item.37756.Freq","share_Item.38382.Freq","share_Item.38512.Freq","share_Item.39052.Freq","share_Item.39542.Freq","share_Item.53294.Freq","share_Item.83966.Freq","share_Item.93020.Freq","share_Item.93160.Freq","share_Item.93256.Freq","share_Item.93376.Freq","share_Item.93576.Freq","share_Item.93860.Freq","share_Item.93870.Freq","share_Item.93962.Freq","share_Item.93974.Freq","share_Item.93982.Freq","share_Item.94376.Freq","share_Item.94556.Freq","share_Item.127382.Freq","share_Item.130672.Freq","share_Item.131570.Freq","share_Item.132046.Freq","share_Item.136076.Freq","share_Item.136174.Freq","share_Item.139502.Freq","share_Item.149828.Freq","share_Item.150116.Freq","share_Item.155320.Freq","share_Item.162452.Freq","share_Item.404712.Freq","share_Item.405304.Freq","share_Item.405330.Freq","share_Item.440136.Freq","share_Item.440788.Freq","share_Item.187956.Freq","share_Item.188018.Freq","share_Item.188186.Freq","share_Item.188396.Freq","share_Item.188470.Freq","share_Item.188500.Freq","share_Item.188556.Freq","share_Item.188622.Freq","share_Item.188660.Freq","share_Item.188688.Freq","share_Item.188784.Freq","share_Item.189136.Freq","share_Item.189154.Freq","share_Item.189204.Freq","share_Item.189444.Freq","share_Item.189504.Freq","share_Item.189540.Freq","share_Item.189612.Freq","share_Item.189666.Freq","share_Item.189746.Freq","share_Item.189758.Freq","share_Item.189904.Freq","share_Item.189946.Freq","share_Item.190144.Freq","share_Item.190194.Freq","share_Item.190254.Freq","share_Item.190346.Freq","share_Item.190494.Freq","share_Item.190568.Freq","share_Item.190650.Freq","share_Item.190704.Freq","share_Item.190708.Freq","share_Item.190716.Freq","share_Item.190786.Freq","share_Item.190856.Freq","share_Item.191056.Freq","share_Item.191058.Freq","share_Item.209570.Freq","share_Item.254268.Freq","share_Item.258030.Freq","share_Item.357088.Freq","share_Item.357322.Freq","share_Item.357438.Freq","share_Item.357584.Freq","share_Item.357600.Freq","share_Item.357726.Freq","share_Item.362276.Freq","share_Item.362774.Freq","share_Item.363046.Freq","share_Item.364366.Freq","share_Item.365596.Freq","share_Item.366054.Freq","share_Item.367038.Freq","share_Item.368146.Freq","share_Item.375554.Freq","share_Item.384376.Freq","share_Item.404766.Freq","share_Item.405210.Freq","share_Item.408072.Freq","share_Item.411834.Freq","share_Item.417650.Freq","share_Item.422214.Freq","share_Item.487970.Freq","share_Item.510892.Freq","share_Item.511126.Freq","share_Item.511242.Freq","share_Item.511388.Freq","share_Item.511404.Freq","share_Item.511530.Freq","share_Item.516080.Freq","share_Item.516578.Freq","share_Item.516850.Freq","share_Item.518170.Freq","share_Item.519400.Freq","share_Item.519858.Freq","share_Item.521950.Freq","share_Item.538180.Freq","share_Item.552686.Freq","share_Item.561876.Freq","share_Item.623184.Freq","share_Item.623326.Freq","share_Item.624984.Freq","share_Item.664766.Freq","share_Item.665084.Freq","share_Item.665128.Freq","share_Item.665338.Freq","share_Item.678134.Freq","share_Item.679302.Freq","share_Item.689406.Freq","share_Item.691318.Freq","share_Item.692352.Freq","share_Item.795730.Freq","share_Item.795874.Freq","share_Item.795980.Freq","share_Item.642122.Freq","share_Item.642190.Freq","share_Item.642440.Freq","share_Item.642718.Freq","share_Item.642778.Freq","share_Item.643070.Freq","share_Item.643414.Freq","share_Item.643674.Freq","share_Item.643700.Freq","share_Item.643760.Freq","share_Item.643770.Freq","share_Item.643842.Freq","share_Item.644048.Freq","share_Item.644320.Freq","share_Item.644682.Freq","share_Item.645236.Freq","share_Item.645274.Freq","share_Item.645622.Freq","share_Item.645878.Freq","share_Item.646412.Freq","share_Item.646504.Freq","share_Item.662190.Freq","share_Item.662248.Freq","share_Item.662260.Freq","share_Item.662266.Freq","share_Item.662384.Freq","share_Item.662402.Freq","share_Item.662516.Freq","share_Item.662520.Freq","share_Item.662656.Freq","share_Item.662812.Freq","share_Item.662834.Freq","share_Item.662988.Freq","share_Item.663006.Freq","share_Item.663014.Freq","share_Item.663130.Freq","share_Item.663132.Freq","share_Item.663152.Freq","share_Item.663154.Freq","share_Item.663214.Freq","share_Item.663274.Freq","share_Item.663336.Freq","share_Item.663404.Freq","share_Item.663546.Freq","share_Item.663566.Freq","share_Item.663620.Freq","share_Item.668866.Freq","share_Item.669378.Freq","share_Item.674024.Freq","share_Item.674084.Freq","share_Item.675594.Freq","share_Item.681814.Freq","share_Item.688972.Freq","share_Item.697980.Freq","share_Item.698088.Freq","share_Item.698188.Freq","share_Item.698218.Freq","share_Item.698226.Freq","share_Item.698298.Freq","share_Item.698340.Freq","share_Item.698362.Freq","share_Item.698482.Freq","share_Item.698514.Freq","share_Item.698554.Freq","share_Item.698616.Freq","share_Item.698732.Freq","share_Item.57056.Freq","share_Item.59056.Freq","share_Item.59334.Freq","share_Item.59388.Freq","share_Item.59878.Freq","share_Item.60066.Freq","share_Item.61102.Freq","share_Item.61380.Freq","share_Item.156168.Freq","share_Item.156518.Freq","share_Item.156664.Freq","share_Item.156680.Freq","share_Item.156806.Freq","share_Item.160134.Freq","share_Item.164072.Freq","share_Item.166362.Freq","share_Item.167056.Freq","share_Item.168600.Freq","share_Item.169336.Freq","share_Item.367788.Freq","share_Item.382196.Freq","share_Item.384022.Freq","share_Item.384074.Freq","share_Item.384178.Freq","share_Item.384198.Freq","share_Item.384246.Freq","share_Item.384764.Freq","share_Item.384834.Freq","share_Item.384862.Freq","share_Item.385194.Freq","share_Item.385266.Freq","share_Item.385314.Freq","share_Item.385404.Freq","share_Item.385652.Freq","share_Item.385816.Freq","share_Item.386376.Freq","share_Item.386462.Freq","share_Item.386738.Freq","share_Item.386850.Freq","share_Item.387292.Freq","share_Item.387330.Freq","share_Item.387776.Freq","share_Item.387792.Freq","share_Item.387866.Freq","share_Item.387930.Freq","share_Item.387934.Freq","share_Item.388194.Freq","share_Item.388226.Freq","share_Item.388532.Freq","share_Item.388664.Freq","share_Item.388668.Freq","share_Item.404572.Freq","share_Item.405044.Freq","share_Item.405070.Freq","share_Item.405254.Freq","share_Item.405430.Freq","share_Item.449932.Freq","share_Item.581626.Freq","share_Item.623178.Freq","share_Item.623262.Freq","share_Item.708010.Freq","share_Item.59142.Freq","share_Item.159996.Freq","share_Item.163846.Freq","share_Item.165098.Freq","share_Item.166030.Freq","share_Item.166180.Freq","share_Item.166300.Freq","share_Item.166972.Freq","share_Item.167052.Freq","share_Item.167612.Freq","share_Item.167922.Freq","share_Item.168148.Freq","share_Item.168204.Freq","share_Item.168218.Freq","share_Item.169204.Freq","share_Item.169562.Freq","share_Item.169730.Freq","share_Item.169934.Freq","share_Item.187712.Freq","share_Item.188264.Freq","share_Item.188304.Freq","share_Item.188352.Freq","share_Item.188442.Freq","share_Item.188636.Freq","share_Item.188858.Freq","share_Item.188934.Freq","share_Item.189336.Freq","share_Item.190628.Freq","share_Item.362658.Freq","share_Item.384464.Freq","share_Item.384944.Freq","share_Item.385126.Freq","share_Item.385492.Freq","share_Item.386296.Freq","share_Item.387678.Freq","share_Item.388468.Freq","share_Item.404528.Freq","share_Item.404806.Freq","share_Item.404882.Freq","share_Item.404900.Freq","share_Item.405010.Freq","share_Item.405186.Freq","share_Item.405208.Freq","share_Item.405270.Freq","share_Item.405302.Freq","share_Item.513836.Freq","share_Item.529896.Freq","share_Item.530250.Freq","share_Item.530268.Freq","share_Item.529940.Freq","share_Item.530236.Freq","share_Item.530412.Freq","share_Item.530556.Freq","share_Item.530578.Freq","share_Item.530638.Freq","share_Item.530828.Freq","share_Item.530970.Freq","share_Item.588692.Freq","share_Item.607590.Freq","share_Item.684570.Freq","share_Item.688460.Freq","share_Item.689098.Freq","share_Item.719614.Freq","share_Item.719754.Freq","share_Item.734220.Freq","share_Item.43354.Freq","share_Item.130980.Freq","share_Item.131296.Freq","share_Item.131456.Freq","share_Item.154740.Freq","share_Item.155364.Freq","share_Item.159794.Freq","share_Item.236974.Freq","share_Item.237054.Freq","share_Item.237442.Freq","share_Item.243340.Freq","share_Item.244078.Freq","share_Item.246260.Freq","share_Item.247356.Freq","share_Item.247718.Freq","share_Item.259302.Freq","share_Item.269258.Freq","share_Item.274132.Freq","share_Item.317610.Freq","share_Item.317780.Freq","share_Item.318730.Freq","share_Item.319216.Freq","share_Item.319598.Freq","share_Item.324564.Freq","share_Item.324622.Freq","share_Item.324714.Freq","share_Item.324750.Freq","share_Item.324756.Freq","share_Item.324788.Freq","share_Item.324950.Freq","share_Item.325020.Freq","share_Item.325148.Freq","share_Item.325174.Freq","share_Item.325308.Freq","share_Item.325320.Freq","share_Item.325410.Freq","share_Item.325420.Freq","share_Item.325586.Freq","share_Item.325830.Freq","share_Item.325848.Freq","share_Item.325866.Freq","share_Item.325924.Freq","share_Item.325982.Freq","share_Item.326052.Freq","share_Item.326112.Freq","share_Item.326462.Freq","share_Item.326592.Freq","share_Item.326668.Freq","share_Item.326684.Freq","share_Item.326714.Freq","share_Item.326780.Freq","share_Item.326782.Freq","share_Item.326812.Freq","share_Item.326992.Freq","share_Item.327468.Freq","share_Item.327648.Freq","share_Item.327728.Freq","share_Item.327738.Freq","share_Item.327796.Freq","share_Item.327802.Freq","share_Item.327902.Freq","share_Item.327938.Freq","share_Item.328234.Freq","share_Item.328388.Freq","share_Item.328472.Freq","share_Item.328496.Freq","share_Item.328544.Freq","share_Item.328644.Freq","share_Item.328748.Freq","share_Item.328786.Freq","share_Item.328794.Freq","share_Item.328808.Freq","share_Item.328832.Freq","share_Item.328866.Freq","share_Item.328954.Freq","share_Item.329158.Freq","share_Item.329248.Freq","share_Item.329462.Freq","share_Item.329542.Freq","share_Item.329720.Freq","share_Item.329806.Freq","share_Item.330280.Freq","share_Item.330288.Freq","share_Item.443284.Freq","share_Item.474146.Freq","share_Item.476052.Freq","share_Item.701190.Freq","share_Item.744422.Freq","share_Item.744666.Freq","share_Item.951942.Freq","share_Item.954196.Freq","share_Item.961740.Freq","share_Item.962298.Freq","share_Item.962930.Freq","share_Item.962982.Freq","share_Item.963216.Freq","share_Item.964230.Freq","share_Item.964410.Freq","share_Item.964700.Freq","share_Item.964710.Freq","share_Item.964818.Freq","share_Item.965596.Freq","share_Item.965714.Freq","share_Item.987520.Freq","share_Item.988924.Freq","share_Item.1200614.Freq","share_Item.1200942.Freq","share_Item.323398.Freq","share_Item.323454.Freq","share_Item.324400.Freq","share_Item.324416.Freq","share_Item.324736.Freq","share_Item.325392.Freq","share_Item.325402.Freq","share_Item.325914.Freq","share_Item.326278.Freq","share_Item.326316.Freq","share_Item.326416.Freq","share_Item.326594.Freq","share_Item.327828.Freq","share_Item.327848.Freq","share_Item.328236.Freq","share_Item.328342.Freq","share_Item.328754.Freq","share_Item.328958.Freq","share_Item.329538.Freq","share_Item.329918.Freq","share_Item.330036.Freq","share_Item.330070.Freq","share_Item.330164.Freq","share_Item.442546.Freq","share_Item.442766.Freq","share_Item.442788.Freq","share_Item.442922.Freq","share_Item.443010.Freq","share_Item.443292.Freq","share_Item.443340.Freq","share_Item.443594.Freq","share_Item.443602.Freq","share_Item.443846.Freq","share_Item.443920.Freq","share_Item.444044.Freq","share_Item.444052.Freq","share_Item.448058.Freq","share_Item.448138.Freq","share_Item.448526.Freq","share_Item.455088.Freq","share_Item.457708.Freq","share_Item.458264.Freq","share_Item.458728.Freq","share_Item.468330.Freq","share_Item.472458.Freq","share_Item.474014.Freq","share_Item.474084.Freq","share_Item.474210.Freq","share_Item.474360.Freq","share_Item.474814.Freq","share_Item.475004.Freq","share_Item.475092.Freq","share_Item.475300.Freq","share_Item.476864.Freq","share_Item.476962.Freq","share_Item.492796.Freq","share_Item.500280.Freq","share_Item.580128.Freq","share_Item.580444.Freq","share_Item.587084.Freq","share_Item.604512.Freq","share_Item.684920.Freq","share_Item.685208.Freq","share_Item.688810.Freq","share_Item.695578.Freq","share_Item.696310.Freq","share_Item.699086.Freq","share_Item.717430.Freq","share_Item.719038.Freq","share_Item.723942.Freq","share_Item.724012.Freq","share_Item.724050.Freq","share_Item.724110.Freq"
"JG1 UX1",0.020979020979021,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.013986013986014,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.013986013986014,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.013986013986014,0.013986013986014,0.00699300699300699,0.013986013986014,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.020979020979021,0.00699300699300699,0.013986013986014,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.041958041958042,0.00699300699300699,0.00699300699300699,0.013986013986014,0.013986013986014,0.00699300699300699,0.0909090909090909,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.041958041958042,0.00699300699300699,0.027972027972028,0.00699300699300699,0.00699300699300699,0.020979020979021,0.013986013986014,0.020979020979021,0.104895104895105,0.013986013986014,0.020979020979021,0.020979020979021,0.020979020979021,0.020979020979021,0.013986013986014,0.041958041958042,0.0629370629370629,0.00699300699300699,0.013986013986014,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG2 UX2",0.0193548387096774,0,0,0,0.0129032258064516,0,0,0,0,0.0129032258064516,0,0,0,0,0,0.0129032258064516,0.00645161290322581,0,0,0,0,0,0,0,0,0.0129032258064516,0,0,0,0.0387096774193548,0,0.00645161290322581,0.0129032258064516,0.0193548387096774,0,0.0387096774193548,0,0,0,0,0,0,0,0,0.0193548387096774,0,0,0.0387096774193548,0.0129032258064516,0.0193548387096774,0.0193548387096774,0.0193548387096774,0.0193548387096774,0,0.0387096774193548,0.0193548387096774,0,0,0,0,0,0,0,0.0129032258064516,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.0193548387096774,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.0516129032258065,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.0451612903225806,0.0903225806451613,0.0451612903225806,0.0129032258064516,0.0193548387096774,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.0193548387096774,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.0258064516129032,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG3 UX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680272108843537,0,0,0.0136054421768707,0.00680272108843537,0.0272108843537415,0.00680272108843537,0.00680272108843537,0.0272108843537415,0.00680272108843537,0.0136054421768707,0.00680272108843537,0.054421768707483,0.0340136054421769,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0204081632653061,0.0136054421768707,0.0204081632653061,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0204081632653061,0.00680272108843537,0.00680272108843537,0.0204081632653061,0.00680272108843537,0.00680272108843537,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0272108843537415,0.00680272108843537,0.0408163265306122,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0272108843537415,0.00680272108843537,0.0476190476190476,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.0136054421768707,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG4 UX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148148148148148,0.0148148148148148,0.0148148148148148,0.00740740740740741,0.0148148148148148,0.00740740740740741,0.0148148148148148,0.0296296296296296,0.0148148148148148,0.0148148148148148,0.00740740740740741,0.0296296296296296,0.0296296296296296,0.0148148148148148,0.0148148148148148,0.0148148148148148,0.0148148148148148,0.0222222222222222,0.0148148148148148,0.00740740740740741,0.0148148148148148,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.0444444444444444,0.0148148148148148,0.00740740740740741,0.0148148148148148,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.0222222222222222,0.0592592592592593,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.0148148148148148,0.0148148148148148,0.00740740740740741,0.192592592592593,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
